event_name,event_type,begin_date,end_date,cpi_cost,unad_cost,deaths
Southeast and Eastern Tornadoes,Severe Storm,2016-02-22,2016-02-24,1372.8,1040.0,10
Texas and Louisiana Flooding,Flooding,2016-03-08,2016-03-12,3029.1,2294.8,5
Southern Severe Weather,Severe Storm,2016-03-17,2016-03-18,1597.6,1210.3,1
North Texas Hail Storm,Severe Storm,2016-03-23,2016-03-24,2725.5,2064.8,0
North/Central Texas Hail Storm,Severe Storm,2016-04-10,2016-04-12,4583.2,3498.6,0
Houston Flooding,Flooding,2016-04-17,2016-04-18,3559.1,2676.0,8
South/Southeast Tornadoes,Severe Storm,2016-04-26,2016-05-02,3136.7,2394.5,6
Plains Tornadoes and Central Severe Weather,Severe Storm,2016-05-08,2016-05-11,2252.9,1719.6,2
Rockies/Central Tornadoes and Severe Weather,Severe Storm,2016-05-21,2016-05-26,1501.5,1146.3,0
West Virginia Flooding and Ohio Valley Tornadoes,Flooding,2016-06-22,2016-06-24,1288.5,968.8,23
Rockies and Northeast Severe Weather,Severe Storm,2016-07-28,2016-07-30,1920.0,1465.6,0
Louisiana Flooding,Flooding,2016-08-12,2016-08-15,13300.0,10000.0,13
Hurricane Matthew,Tropical Cyclone,2016-10-08,2016-10-12,13000.0,10000.0,49
Western/Southeast Wildfires,Wildfire,2016-06-01,2016-12-31,3113.5,2395.0,21
West/Northeast/Southeast Drought,Drought,2016-01-01,2016-12-31,4580.0,3443.5,0
Southern Tornado Outbreak and Western Storms,Severe Storm,2017-01-20,2017-01-22,1425.6,1105.0,24
California Flooding,Flooding,2017-02-08,2017-02-22,1935.0,1500.0,5
Central/Southeast Tornado Outbreak,Severe Storm,2017-02-28,2017-03-01,2329.9,1806.0,6
Midwest Tornado Outbreak,Severe Storm,2017-03-06,2017-03-08,2807.2,2176.0,2
Southeast Freeze,Freeze,2017-03-14,2017-03-16,1290.0,1000.0,0
South/Southeast Severe Weather,Severe Storm,2017-03-26,2017-03-28,3476.6,2695.0,0
Southeast Severe Weather and Tornadoes,Severe Storm,2017-04-04,2017-04-06,1249.3,976.0,1
South and Southeast Severe Weather,Severe Storm,2017-04-20,2017-04-22,1143.0,893.0,0
Missouri and Arkansas Flooding and Central Severe Weather,Flooding,2017-04-25,2017-05-07,2140.3,1659.0,20
Colorado Hail Storm and Central Severe Weather,Severe Storm,2017-05-08,2017-05-11,4288.0,3350.0,0
North Central Severe Weather and Tornadoes,Severe Storm,2017-05-15,2017-05-18,1204.5,941.0,1
Minnesota Hail Storm and Upper Midwest Severe Weather,Severe Storm,2017-06-09,2017-06-11,3008.0,2350.0,0
Midwest Severe Weather,Severe Storm,2017-06-12,2017-06-16,1931.5,1509.0,0
Midwest Severe Weather,Severe Storm,2017-06-27,2017-06-29,1824.0,1425.0,0
Hurricane Harvey,Tropical Cyclone,2017-08-25,2017-08-31,158750.0,125000.0,89
Hurricane Irma,Tropical Cyclone,2017-09-06,2017-09-12,63500.0,50000.0,97
Hurricane Maria,Tropical Cyclone,2017-09-19,2017-09-21,114300.0,90000.0,2981
"North Dakota, South Dakota and Montana Drought",Drought,2017-03-01,2017-12-31,3225.0,2500.0,0
"Western Wildfires, California Firestorm",Wildfire,2017-06-01,2017-12-31,23046.4,18005.0,54
Central and Eastern Winter Storm,Winter Storm,2018-01-03,2018-01-05,1324.6,1043.0,22
Northeast Winter Storm,Winter Storm,2018-03-01,2018-03-03,2764.5,2194.0,9
Southeastern Tornadoes and Severe Weather,Severe Storm,2018-03-18,2018-03-21,1829.5,1452.0,0
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2018-04-13,2018-04-16,1647.8,1318.0,3
Central and Northeast Severe Weather,Severe Storm,2018-05-01,2018-05-04,1737.9,1390.0,0
Central and Eastern Severe Weather,Severe Storm,2018-05-13,2018-05-15,1712.9,1370.0,5
Texas Hail Storm,Severe Storm,2018-06-06,2018-06-06,1625.0,1300.0,0
Colorado Hail Storm,Severe Storm,2018-06-13,2018-06-13,1193.8,955.0,0
Colorado Hail Storm,Severe Storm,2018-06-18,2018-06-19,2778.8,2223.0,0
Central and Eastern Tornadoes and Severe Weather,Severe Storm,2018-07-19,2018-07-22,1981.6,1585.0,0
Mountain West Severe Weather,Severe Storm,2018-07-26,2018-07-29,1063.8,851.0,0
Rockies and Plains Hail Storms,Severe Storm,2018-08-06,2018-08-07,1281.4,1025.0,0
Hurricane Florence,Tropical Cyclone,2018-09-13,2018-09-16,29760.0,24000.0,53
Hurricane Michael,Tropical Cyclone,2018-10-10,2018-10-11,30969.0,24975.0,49
Southwest/Southern Plains Drought,Drought,2018-06-01,2018-12-30,3797.4,2990.0,0
"Western Wildfires, California Firestorm",Wildfire,2018-06-01,2018-12-31,30000.0,24000.0,106
"Southeast, Ohio Valley and Northeast Severe Weather",Severe Storm,2019-02-23,2019-02-25,1534.3,1237.5,2
Texas Hail Storm,Severe Storm,2019-03-22,2019-03-24,1903.4,1535.0,0
Missouri River and North Central Flooding,Flooding,2019-03-14,2019-03-31,13408.9,10727.0,3
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2019-04-13,2019-04-14,1540.0,1252.0,7
South and Southeast Severe Weather,Severe Storm,2019-05-07,2019-05-13,1862.4,1514.0,0
Central Severe Weather,Severe Storm,2019-05-16,2019-05-18,1196.9,973.0,0
"Rockies, Central and Northeast Tornadoes and Severe Weather",Severe Storm,2019-05-26,2019-05-29,5655.6,4598.0,3
Arkansas River Flooding,Flooding,2019-05-20,2019-06-14,3720.8,3025.0,5
Colorado Hail Storms,Severe Storm,2019-07-04,2019-07-05,1229.8,1008.0,0
"Mississippi River, Midwest and Southern Flooding",Flooding,2019-03-15,2019-07-31,7649.6,6169.0,4
Hurricane Dorian,Tropical Cyclone,2019-08-28,2019-09-06,1964.2,1610.0,10
Tropical Storm Imelda,Tropical Cyclone,2019-09-17,2019-09-21,6100.0,5000.0,5
Texas Tornadoes and Central Severe Weather,Severe Storm,2019-10-20,2019-10-20,2095.9,1718.0,2
California and Alaska Wildfires,Wildfire,2019-06-01,2019-11-30,5535.0,4500.0,3
Southeast Tornadoes and Northern Storms and Flooding,Severe Storm,2020-01-10,2020-01-12,1401.8,1149.0,10
"South, East and Northeast Severe Weather",Severe Storm,2020-02-05,2020-02-07,1520.1,1256.0,3
Tennessee Tornadoes and Southeast Severe Weather,Severe Storm,2020-03-02,2020-03-04,2850.0,2336.0,25
Midwest and Ohio Valley Severe Weather,Severe Storm,2020-03-27,2020-03-28,3120.9,2558.0,0
North Central and Ohio Valley Hail Storms and Severe Weather,Severe Storm,2020-04-07,2020-04-08,3514.8,2881.0,0
Southeast and Eastern Tornado Outbreak,Severe Storm,2020-04-12,2020-04-13,4201.9,3444.0,35
Southern Severe Weather,Severe Storm,2020-04-21,2020-04-23,1647.0,1350.0,3
"Central, Southern and Eastern Severe Weather",Severe Storm,2020-04-27,2020-04-30,1252.9,1027.0,1
Central and Eastern Severe Weather,Severe Storm,2020-05-03,2020-05-05,2577.9,2113.0,2
"South, Central and Eastern Severe Weather",Severe Storm,2020-05-20,2020-05-23,1932.6,1584.0,2
South Texas Hail Storms,Severe Storm,2020-05-27,2020-05-27,1708.0,1400.0,0
Central Severe Weather,Severe Storm,2020-07-10,2020-07-11,1447.4,1196.0,0
Hurricane Hanna,Tropical Cyclone,2020-07-25,2020-07-26,1300.8,1075.0,0
Hurricane Isaias,Tropical Cyclone,2020-08-03,2020-08-04,5756.1,4757.0,16
Central Severe Weather - Derecho,Severe Storm,2020-08-10,2020-08-10,13342.7,11027.0,4
Hurricane Laura,Tropical Cyclone,2020-08-27,2020-08-28,28090.3,23215.0,42
Hurricane Sally,Tropical Cyclone,2020-09-15,2020-09-17,8801.5,7274.0,5
Hurricane Delta,Tropical Cyclone,2020-10-09,2020-10-11,3469.3,2867.0,5
Hurricane Zeta,Tropical Cyclone,2020-10-28,2020-10-29,5266.0,4352.0,6
Tropical Storm Eta,Tropical Cyclone,2020-11-08,2020-11-12,1766.7,1460.0,12
Western/Central Drought and Heat Wave,Drought,2020-06-01,2020-12-30,5439.1,4495.0,45
"Western Wildfires - California, Oregon, Washington Firestorms",Wildfire,2020-08-01,2020-12-30,19904.5,16450.0,46
California Flooding and Severe Weather,Flooding,2021-01-24,2021-01-29,1314.0,1095.0,2
"Northwest, Central, Eastern Winter Storm and Cold Wave",Winter Storm,2021-02-10,2021-02-19,26996.7,22686.0,262
Southeast Tornadoes and Severe Weather,Severe Storm,2021-03-24,2021-03-25,1995.8,1677.0,6
Eastern Severe Weather,Severe Storm,2021-03-27,2021-03-28,1601.9,1346.0,8
Texas Hail Storms,Severe Storm,2021-04-12,2021-04-15,1755.3,1475.0,0
Texas and Oklahoma Severe Weather,Severe Storm,2021-04-27,2021-04-28,3747.4,3149.0,0
